lemma,en_US,en_GB,en_AU,en_CA,notes
abettor,abettor,abetter,,abettor,
abettors,abettors,abetters,,abettors,
abettor's,abettor's,abetter's,,abettor's,
abnormalize,abnormalize,abnormalize,,,
abnormalized,abnormalized,abnormalized,,,
abnormalizing,abnormalizing,abnormalizing,,,
abolitionize,abolitionize,abolitionize,,,
abolitionized,abolitionized,abolitionized,,,
abolitionizing,abolitionizing,abolitionizing,,,
abridgment,abridgment,abridgement,,abridgement,
abridgments,abridgments,abridgements,,abridgements,
abridgment's,abridgment's,abridgement's,,abridgement's,
absinthe,absinthe,absinth,,,
absinthes,absinthes,absinths,,,
absinthe's,absinthe's,absinth's,,,
academize,academize,academize,,,
academized,academized,academized,,,
academizing,academizing,academizing,,,
acalephe,acalephe,acalephae,,,
accessorize,accessorize,accessorize,,,
accessorized,accessorized,accessorized,,,
accessorizing,accessorizing,accessorizing,,,
accessorizes,accessorizes,accessorizes,,,
acclimatizable,acclimatizable,acclimatizable,,,
acclimatization,acclimatization,acclimatization,,,
acclimatization's,acclimatization's,acclimatization's,,,
acclimatizer,acclimatizer,acclimatizer,,,
acclimatizers,acclimatizers,acclimatizers,,,
accorage,accorage,accourage,,,
accoraged,accoraged,accouraged,,,
accoraging,accoraging,accouraging,,,
accorages,accorages,accourages,,,
accouter,accouter,accoutre,,,
accoutered,accoutered,accoutred,,,
accoutering,accoutering,accoutring,,,
accouters,accouters,accoutres,,,
accouterment,accouterment,accoutrement,,,
accouterments,accouterments,accoutrements,,,
accouterments,accouterments,accoutrements's,,,
accouterment's,accouterment's,accoutrement's,,,
accursed,accursed,accursed,,,
acetonemia,acetonemia,acetonaemia,,,
acetonemic,acetonemic,acetonaemic,,,
achenia,achenia,achaenia,,,
achenium,achenium,achaenium,,,
acheniums,acheniums,achaeniums,,,
achenocarp,achenocarp,achaenocarp,,,
achroiocythemia,achroiocythemia,achroiocythaemia,,,
achromatization,achromatization,achromatization,,,
achromatizations,achromatizations,achromatizations,,,
achromatization's,achromatization's,achromatization's,,,
achromatize,achromatize,achromatize,,,
achromatized,achromatized,achromatized,,,
achromatizing,achromatizing,achromatizing,,,
achromatizes,achromatizes,achromatizes,,,
acidemia,acidemia,acidaemia,,,
acknowledgment,acknowledgment,acknowledgement,,acknowledgement,
acknowledgments,acknowledgments,acknowledgements,,acknowledgements,
acknowledgment's,acknowledgment's,acknowledgement's,,acknowledgement's,
acmesthesia,acmesthesia,acmaesthesia,,,
acroanesthesia,acroanesthesia,acroanaesthesia,,,
acroesthesia,acroesthesia,acroaesthesia,,,
actualization,actualization,actualization,,,
actualizations,actualizations,actualizations,,,
actualization's,actualization's,actualization's,,,
actualize,actualize,actualize,,,
actualized,actualized,actualized,,,
actualizing,actualizing,actualizing,,,
actualizes,actualizes,actualizes,,,
acuesthesia,acuesthesia,acuaesthesia,,,
adapter,adapter,adaptor,,adapter,
adapters,adapters,adaptors,,adapters,
adapter's,adapter's,adaptor's,,adapter's,
adonize,adonize,adonize,,,
adonized,adonized,adonized,,,
adonizing,adonizing,adonizing,,,
adonizes,adonizes,adonizes,,,
adulterize,adulterize,adulterize,,,
adulterized,adulterized,adulterized,,,
adulterizing,adulterizing,adulterizing,,,
adulterizes,adulterizes,adulterizes,,,
advene,advene,advenae,,,
adverbialize,adverbialize,adverbialize,,,
adverbialized,adverbialized,adverbialized,,,
adverbializing,adverbializing,adverbializing,,,
adverbializes,adverbializes,adverbializes,,,
advertise,advertise,advertise,,,
advertised,advertised,advertised,,,
advertising,advertising,advertising,,,
advertises,advertises,advertises,,,
advertisement,advertisement,advertisement,,,
advertisements,advertisements,advertisements,,,
advertisement's,advertisement's,advertisement's,,,
advertizable,advertizable,advertizable,,,
adviser,adviser,adviser,,,
advisers,advisers,advisers,,,
adviser's,adviser's,adviser's,,,
aegis,aegis,aegis,,,
aegises,aegises,aegises,,,
aegis's,aegis's,aegis's,,,
aerialness,aerialness,aaerialness,,,
aerialness's,aerialness's,aaerialness's,,,
aeric,aeric,areic,,,
eric,eric,aeric,,,
aerographer,aerographer,areographer,,,
aerographic,aerographic,areographic,,,
aerographical,aerographical,areographical,,,
aerography,aerography,areography,,,
aerographies,aerographies,areographies,,,
aerography's,aerography's,areography's,,,
aerologic,aerologic,areologic,,,
aerological,aerological,areological,,,
aerologist,aerologist,areologist,,,
aerologist's,aerologist's,areologist's,,,
aerology,aerology,areology,,,
aerologies,aerologies,areologies,,,
aerology's,aerology's,areology's,,,
aerometer,aerometer,areometer,,,
aerometers,aerometers,areometers,,,
areometer,areometer,araeometer,,,
areometers,areometers,araeometers,,,
aerometric,aerometric,areometric,,,
areometric,areometric,araeometric,,,
aerometry,aerometry,areometry,,,
areometry,areometry,araeometry,,,
aesthete,aesthete,aesthete,,,
aesthetes,aesthetes,aesthetes,,,
aesthete's,aesthete's,aesthete's,,,
aestheticize,aestheticize,aestheticize,,,
aestheticized,aestheticized,aestheticized,,,
aestheticizing,aestheticizing,aestheticizing,,,
aestheticizes,aestheticizes,aestheticizes,,,
affeer,affeer,affere,,,
afterwards,afterwards,afterwards,,afterwards,
agathodemon,agathodemon,agathodaemon,,,
agatize,agatize,agatize,,,
agatizes,agatizes,agatizes,,,
agenize,agenize,agenize,,,
ager,ager,agre,,,
aggrandizable,aggrandizable,aggrandizable,,,
aggrandizables,aggrandizables,aggrandizables,,,
aggrandizable's,aggrandizable's,aggrandizable's,,,
aggrandization,aggrandization,aggrandization,,,
aggrandize,aggrandize,aggrandize,,,
aggrandized,aggrandized,aggrandized,,,
aggrandizing,aggrandizing,aggrandizing,,,
aggrandizes,aggrandizes,aggrandizes,,,
aggrandizement,aggrandizement,aggrandizement,,,
aggrandizements,aggrandizements,aggrandizements,,,
aggrandizement's,aggrandizement's,aggrandizement's,,,
aggrandizer,aggrandizer,aggrandizer,,,
aggrandizers,aggrandizers,aggrandizers,,,
aggrandizer's,aggrandizer's,aggrandizer's,,,
aging,aging,ageing,,aging,
agings,agings,ageings,,agings,
aging's,aging's,ageing's,,aging's,
agnize,agnize,agnize,,,
agnized,agnized,agnized,,,
agnizing,agnizing,agnizing,,,
agnizes,agnizes,agnizes,,,
agonize,agonize,agonize,,,
agonized,agonized,agonized,,,
agonizing,agonizing,agonizing,,,
agonizes,agonizes,agonizes,,,
agonizedly,agonizedly,agonizedly,,,
agonizedlies,agonizedlies,agonizedlies,,,
agonizer,agonizer,agonizer,,,
agonizers,agonizers,agonizers,,,
agonizingly,agonizingly,agonizingly,,,
agonizinglier,agonizinglier,agonizinglier,,,
agonizingliest,agonizingliest,agonizingliest,,,
agrarianize,agrarianize,agrarianize,,,
agrarianizes,agrarianizes,agrarianizes,,,
agrize,agrize,agrize,,,
agrized,agrized,agrized,,,
agrizing,agrizing,agrizing,,,
agrizes,agrizes,agrizes,,,
aguize,aguize,aguize,,,
aguized,aguized,aguized,,,
aguizing,aguizing,aguizing,,,
aguizes,aguizes,aguizes,,,
aiger,aiger,aigre,,,
airfoil,airfoil,aerofoil,,,
airfoils,airfoils,aerofoils,,,
airfoil's,airfoil's,aerofoil's,,,
airgel,airgel,aerogel,,,
airplane,airplane,aeroplane,,,
airplanes,airplanes,aeroplanes,,,
airplane's,airplane's,aeroplane's,,,
aker,aker,akre,,,
albitize,albitize,albitize,,,
albitized,albitized,albitized,,,
albitizing,albitizing,albitizing,,,
albitizes,albitizes,albitizes,,,
albumenization,albumenization,albuminisation,,,
albumenizations,albumenizations,albuminisations,,,
albumenization's,albumenization's,albuminisation's,,,
albumenize,albumenize,albuminise,,,
albumenized,albumenized,albuminised,,,
albumenizing,albumenizing,albuminising,,,
albumenizes,albumenizes,albuminises,,,
albumenizer,albumenizer,albumenizer,,,
alchemize,alchemize,alchemize,,,
alchemized,alchemized,alchemized,,,
alchemizing,alchemizing,alchemizing,,,
alchemizes,alchemizes,alchemizes,,,
alcoholizable,alcoholizable,alcoholizable,,,
alcoholizables,alcoholizables,alcoholizables,,,
alcoholizable's,alcoholizable's,alcoholizable's,,,
alcoholization,alcoholization,alcoholization,,,
alcoholizations,alcoholizations,alcoholizations,,,
alcoholization's,alcoholization's,alcoholization's,,,
alcoholize,alcoholize,alcoholize,,,
alcoholized,alcoholized,alcoholized,,,
alcoholizing,alcoholizing,alcoholizing,,,
alcoholizes,alcoholizes,alcoholizes,,,
aleucemic,aleucemic,aleucaemic,,,
aleukemic,aleukemic,aleukaemic,,,
algebraization,algebraization,algebraization,,,
algebraizations,algebraizations,algebraizations,,,
algebraization's,algebraization's,algebraization's,,,
algebraize,algebraize,algebraize,,,
algebraizes,algebraizes,algebraizes,,,
algesthesis,algesthesis,algaesthesis,,,
alienize,alienize,alienize,,,
alienizes,alienizes,alienizes,,,
align,align,align,,,
aligned,aligned,aligned,,,
aligning,aligning,aligning,,,
aligns,aligns,aligns,,,
alignment,alignment,alignment,,,
alignments,alignments,alignments,,,
alignment's,alignment's,alignment's,,,
alkalinization,alkalinization,alkalinization,,,
alkalinizations,alkalinizations,alkalinizations,,,
alkalinization's,alkalinization's,alkalinization's,,,
alkalinize,alkalinize,alkalinize,,,
alkalinized,alkalinized,alkalinized,,,
alkalinizing,alkalinizing,alkalinizing,,,
alkalinizes,alkalinizes,alkalinizes,,,
alkalizable,alkalizable,alkalizable,,,
alkalization,alkalization,alkalization,,,
alkalizations,alkalizations,alkalizations,,,
alkalization's,alkalization's,alkalization's,,,
alkalize,alkalize,alkalize,,,
alkalized,alkalized,alkalized,,,
alkalizing,alkalizing,alkalizing,,,
alkalizes,alkalizes,alkalizes,,,
alkalizer,alkalizer,alkalizer,,,
alkalizer's,alkalizer's,alkalizer's,,,
allegorization,allegorization,allegorization,,,
allegorizations,allegorizations,allegorizations,,,
allegorization's,allegorization's,allegorization's,,,
allegorize,allegorize,allegorize,,,
allegorized,allegorized,allegorized,,,
allegorizing,allegorizing,allegorizing,,,
allegorizes,allegorizes,allegorizes,,,
allegorizer,allegorizer,allegorizer,,,
allegorizers,allegorizers,allegorizers,,,
allegorizer's,allegorizer's,allegorizer's,,,
alloxuremia,alloxuremia,alloxuraemia,,,
alphabetization,alphabetization,alphabetization,,,
alphabetizations,alphabetizations,alphabetizations,,,
alphabetization's,alphabetization's,alphabetization's,,,
alphabetize,alphabetize,alphabetize,,,
alphabetized,alphabetized,alphabetized,,,
alphabetizing,alphabetizing,alphabetizing,,,
alphabetizes,alphabetizes,alphabetizes,,,
alphabetizer,alphabetizer,alphabetizer,,,
alphabetizers,alphabetizers,alphabetizers,,,
alphabetizer's,alphabetizer's,alphabetizer's,,,
alternize,alternize,alternize,,,
alternizes,alternizes,alternizes,,,
althea,althea,althaea,,,
altheas,altheas,althaeas,,,
althea's,althea's,althaea's,,,
althein,althein,althaein,,,
although,although,although,,,
aluminization,aluminization,aluminization,,,
aluminize,aluminize,aluminize,,,
aluminized,aluminized,aluminized,,,
aluminizing,aluminizing,aluminizing,,,
aluminizes,aluminizes,aluminizes,,,
aluminum,aluminum,aluminium,,aluminum,
aluminums,aluminums,aluminiums,,aluminums,
aluminum's,aluminum's,aluminium's,,aluminum's,
alveole,alveole,alveolae,,,
amalgamatize,amalgamatize,amalgamatize,,,
amalgamatizes,amalgamatizes,amalgamatizes,,,
amalgamization,amalgamization,amalgamization,,,
amalgamizations,amalgamizations,amalgamizations,,,
amalgamization's,amalgamization's,amalgamization's,,,
amalgamize,amalgamize,amalgamize,,,
amalgamizes,amalgamizes,amalgamizes,,,
ambiance,ambiance,ambience,,,
ambiances,ambiances,ambiences,,,
ambiance's,ambiance's,ambience's,,,
ambicolorate,ambicolorate,ambicolourate,,,
ambicoloration,ambicoloration,ambicolouration,,,
ambilevous,ambilevous,ambilaevous,,,
ameban,ameban,amoeban,,,
amebean,amebean,amoebean,,,
amebian,amebian,amoebian,,,
amebiasis,amebiasis,amoebiasis,,,
amebiases,amebiases,amoebiases,,,
amebicidal,amebicidal,amoebicidal,,,
amebicide,amebicide,amoebicide,,,
amebid,amebid,amoebid,,,
amebiform,amebiform,amoebiform,,,
amebiosis,amebiosis,amoebiosis,,,
amebocyte,amebocyte,amoebocyte,,,
amebocytes,amebocytes,amoebocytes,,,
amebocyte's,amebocyte's,amoebocyte's,,,
ameboidism,ameboidism,amoeboidism,,,
ameboidism's,ameboidism's,amoeboidism's,,,
amebous,amebous,amoebous,,,
amebula,amebula,amoebula,,,
amenorrhea,amenorrhea,amenorrhoea,,amenorrhea,
amenorrheas,amenorrheas,amenorrhoeas,,amenorrheas,
amenorrhea's,amenorrhea's,amenorrhoea's,,amenorrhea's,
amenorrheal,amenorrheal,amenorrhoeal,,,
amenorrheic,amenorrheic,amenorrhoeic,,,
americanization,americanization,americanization,,,
americanized,americanized,americanized,,,
amid,amid,amid,,,
ammocete,ammocete,ammocoete,,,
ammocetes,ammocetes,ammocoetes,,,
ammocete's,ammocete's,ammocoete's,,,
ammoniemia,ammoniemia,ammoniaemia,,,
amoeba,amoeba,amoeba,,,
amoebas,amoebas,amoebas,,,
amoeba's,amoeba's,amoeba's,,,
amoebic,amoebic,amoebic,,,
amoeboid,amoeboid,amoeboid,,,
